annotate,post
"[0, 0, 0, 1]", Nagsugod mi ug linukot sa mga pan
"[0, 0, 0, 1]", Gusto ko nga mahatag ang mga rakas sa akong mga anak aron mapalig-on ang ilang pagkatawo
"[0, 0, 0, 1]", Nagdala ako og tahong gikan sa merkado
"[0, 0, 0, 1]",Bag-o lang nako nadawat ang lab-as nga prutas gikan sa merkado
"[0, 1, 0, 0]","Walay utang karon, ugma ra, kay wala pa ni abot akong sweldo"
"[0, 0, 0, 1]"," Nagsugod na ang salida, pero wala pa ang mga bida"
"[0, 0, 1, 0]", Dili maayo nga maghisgot sa pribadong parte sa publiko
"[1, 0, 0, 0]"," Grabe na kaayo siya, bata pa lang murag korek na sa iyang mga panghunahuna"
"[1, 0, 0, 0]","Kining tawo, bati na nga kasingkasing, wala gyud siya nagpasaylo"
"[0, 0, 1, 0]", Naa koy mga higala nga uncomfortable mohisgot bahin sa latbi
"[0, 1, 0, 0]"," Ayaw na lang pag-istorya, wala ko'y cares, imong mama dancer!"
"[0, 0, 1, 0]", Kanunay ko naghulat sa hapon aron makapahuway ug mag-ul-ol lang
"[0, 0, 0, 1]", Ang balay nga ilang gipangita kay barato ra paabangan
"[0, 1, 0, 0]","Nakita nimo si Sarah? Patsoy-tsoy kaayo, walay lamo na siya, nag-repost lang sa iyang IG!"
"[0, 0, 1, 0]",Murag hapit na gyud mo panaw si Lolo
"[0, 0, 0, 1]", Ang yuta nga akong gipuy-an puno sa mga rakas nga naghatag sa akong kinabuhi ug katuyuan
"[1, 0, 0, 0]","Kanang bataha, anak sa liki nga kawayan, wala nagpasabot nga wa na siya'y maayong kaugmaon"
"[0, 0, 0, 1]", Nagluto ko og mga itlog ug gilakip ang puti sa akong salad
"[0, 0, 0, 1]", Akong gisaulog ang akong pagkamaayo isip senyor sa among banay
"[1, 0, 0, 0]", Makita nimo nga baga'g nawong kaayo siyang tawo kung magpaka-brave siya sa mga sitwasyon
"[0, 1, 0, 0]"," Patsoy-tsoy kaayo imong outfit karon, pang-photoshoot na ba?"
"[1, 0, 0, 0]"," Busa, nagpili na lang siya nga dili makigkompromiso kay basin maander siya"
"[1, 0, 0, 0]", Di na ko mugamit ug perfume kay bahong biyudo man ang sinina
"[1, 0, 0, 0]"," Diha sa dagat, ang mga baga'g hasang nga mga lumalangoy nagdala sa inspirasyon sa uban"
"[0, 1, 0, 0]","Mas maayo pa magpaka-chill lang kaysa magpaka-gloomy, ang masuya madeads"
"[1, 0, 0, 0]"," Kaniadto, nag-antos ako pero nagpadayon gihapon ko kay baga'g hasang ko"
"[0, 0, 1, 0]", Gi-invite niya ang iyang mga amigo aron mag-rampa sila sa party
"[1, 0, 0, 0]", Daghan kaayo ang nagdawat sa mga anak sa pagpakasala sa atong komunidad
"[0, 0, 0, 1]",Nangahoy kami og tupad sa mga bata kay mag-tuslok baki mi
"[0, 0, 1, 0]"," Atala, di ko mutuo nga nadakpan siya sa eskwelahan"
"[1, 0, 0, 0]", Ang anak sa buhat dili mapukan sa mga pagsulay sa kinabuhi
"[0, 0, 1, 0]"," Maayo unta nga adunay respeto sa tanan, labi na sa mga bilatnanay"
"[0, 0, 1, 0]", Pahibalo lang ko kung unsa ang kailangan nimo bahin sa tahong
"[0, 0, 1, 0]"," Nagdula sila og mga duwa nga naghisgot og armas, pero siya nag-amping sa pagkasensitibo"
"[1, 0, 0, 0]"," Nagluto siya sa kusina, murag anak sa engkanto ang iyang kolor."
"[1, 0, 0, 0]","Wala na jud tay laing kapilian, abot na sa dukot ta ani nga plano"
"[0, 0, 1, 0]", Kadaghanan sa mga batan-on karon ang nagtan-aw sa ilang binuhi isip simbolo sa ilang pagka-muchacho
"[0, 0, 0, 1]", Nakadawat siya og bouquet gikan sa iyang mga estudyante kay siya usa ka senyora nga maayo magpangulo
"[0, 0, 1, 0]", Dili ko gusto nga ipakita ang akong hinagiban sa publiko
"[0, 0, 0, 1]", Ang ikaduha sa presidente sa klase kay madasigon nga magtuon.
"[0, 1, 0, 0]"," Naghisgot ko sa akong plano, pero ayaw pagbuot, tagsa-tagsa tag lubot"
"[0, 0, 0, 1]", Ang akong cellphone na wala pag-abot sa ilang balay
"[0, 0, 1, 0]", Wala siya nagtuo nga ang taga maoy usa sa mga pinaka controversial nga topics.
"[0, 1, 0, 0]"," Nagpataka siya og ingon nga siya ang pinaka-lig-on, bugog mama lagi."
"[1, 0, 0, 0]","Joma ander da saya gyud ni siya, sige ra ug buhat sa ganahan sa iya uyab"
"[1, 0, 0, 0]"," Ayaw kabalaka, bisag anak sa anuos ka, ang importante kay maayo ka nga tawo"
"[1, 0, 0, 0]"," Nindot ang mga mensahe sa mga babayeng ikogan sa social media, daghan silang nakahatag ug inspirasyon"
"[0, 0, 1, 0]"," Kon magpabuto na sila, kinahanglan nga kabalo sila sa ilang responsibilidad"
"[1, 0, 0, 0]",Ang ako mga amigo nag-ingon nga di kaayoy maayo ang iyang batasan kay bilat ray puhonan
"[0, 1, 0, 0]"," Kahibulong ra gyud, bisan anak sa pobreng utin, daghan gihapon ta’g maabot."
"[0, 0, 0, 1]"," Pagkaingon sa mga bisita, ang bibingka talagsaong lami, ug kini naghatag og kasinatian sa bag-ong lami"
"[1, 0, 0, 0]", Nasuko ko sa iyaha kay bail og nawong siya sa pagsulti nga wala siya nakabalo sa mga butang.
"[0, 0, 0, 1]", Pagpili sa tama nga lugar para sa tuslok baki mao ang importante
"[1, 0, 0, 0]"," Nganong maong bata kay puti man kaayo, basin anak sa engkanto."
"[1, 0, 0, 0]", Ayaw kalimti nga mag bantay pari sa imong bag kay daghan mga tawo.
"[0, 1, 0, 0]"," Dili na ko makapugong, lisod na pud pukawon ang gamata"
"[0, 0, 0, 1]"," Kining negosyo, mahatagon sila sa paghatag ug discounts sa mga loyal customers"
"[0, 1, 0, 0]"," Hala, kalma lang! Kung wala kay lingaw sa kinabuhi, dakpa akong utot"
"[0, 0, 1, 0]"," Pagdugang sa sosyal nga kahulugan, nagagtang ang kampilan sa kahulugan sa pagkahulog sa mga kahimtang sa kinabuhi"
"[0, 1, 0, 0]"," Riya, ayaw na pagdali kay basin mogawas na ang pari nga walay ulo!"
"[1, 0, 0, 0]"," Panagsa ra kaayo si Liza nga dili basag baba, sa tinuod"
"[1, 0, 0, 0]","Hala, naglakaw-lakaw ka nga abli ang Gaisano nimo amigo"
"[1, 0, 0, 0]","Abi kay naka abrod, magpaka-bibo ra sa party"
"[0, 0, 1, 0]"," Pinaagi sa tahong, makahatag ka ug gabay sa mga kabataan"
"[0, 0, 0, 1]", Magdala ta og mga pain para mas dali nato ang pag-taga.
"[0, 0, 0, 1]", Dili siya nagtuo nga kinahanglan pa siya magdala og armas sa paglakaw
"[1, 0, 0, 0]"," Mao ra ba na ang akong nahinumduman, basta maghisgot ko sa bangus, nagkatawa ra ko."
"[0, 0, 0, 1]"," Sa akong pagbisita, daghang ugis ang naglaroy-laroy sa uma"
"[0, 0, 1, 0]"," Sa katapusang mga tuig, nakabesug ko nga ang kinatawo sa akong amigo maayo kaayo"
"[0, 1, 0, 0]"," Janna, ayaw pag-sulti sa iyang mga sekreto kay burikat sa Pasil man na"
"[0, 1, 0, 0]"," Kung ganahan ka, pwede ra man walay utang karon, ugma ra"
"[0, 1, 0, 0]"," Magsayang lang ka sa oras, ayaw pagbuot, tagsa-tagsa tag lubot"
"[1, 0, 0, 0]", Dili ko muadto sa salida abi kay naka pambalay
"[0, 1, 0, 0]","Ayaw pagpanuko, kung wala kay lingaw, dakpa akong utot!"
"[0, 1, 0, 0]"," Kinsa man ka para magpataka og istorya, kung wala kay lingaw sa kinabuhi, dakpa akong utot"
"[1, 0, 0, 0]"," Limang bulan na nga nagtuon siya sa ballet, pero ang iyang paghunahuna, Agatha ra gihapon"
"[0, 0, 1, 0]",Ang akong mga amigo nag joke nga nag-tuslok baki na sila sa ilang honeymoon
"[1, 0, 0, 0]", Ang iyang mga bisita mga bago napud ug salakyan tungod kay mga agas og palad sila
"[0, 0, 0, 1]", Wala pa ang mga bisita sa party bisan na time na
"[0, 1, 0, 0]"," Sa imong mga istorya, ang baka nisulod sa kulon"
"[0, 0, 1, 0]"," Ang mga batang lalaki sa eskuwelahan, rampa ra sa mga dalaga"
"[0, 1, 0, 0]","Ayaw ko anang drama, kung wala kay lingaw, dakpa imong utot!"
"[0, 0, 0, 1]", Taga Davao sila ug ganahan kaayo sila sa mga pagkaon dinhi
"[0, 0, 1, 0]", Ang pagtan-aw sa bilatnanay sa usa ka positibo nga paagi magpadasig kanato sa pag amping sa kababayen-an
"[0, 1, 0, 0]"," Bisan unsa pa man ang pagsulay, padayon ko nga nagasunod sa imong heart"
"[0, 0, 1, 0]"," Ayaw na pag-sabong, mas maayo nga mag-istorya na lang kita"
"[0, 1, 0, 0]"," Grabe, murag ninja ray mopatay ninjo ang akong nabati karon sa imong mga jokes!"
"[1, 0, 0, 0]"," Sa akong pagkakita, murag babaye pero babayeng ikogan man diay"
"[0, 0, 0, 1]"," Sa mga puti sa itlog, nadugangan ang nutritional value sa pagkaon"
"[0, 0, 0, 1]"," Pagkalalaki o dili, ang pagkugihan ug pagkamatinud-anon usa ka timaan sa usa ka tinood nga lalake"
"[1, 0, 0, 0]",Ambot sa langaw nganong wala man gyud silay niabot sa oras
"[0, 0, 0, 1]", Kailangan nato nga magsiguro nga ang atong armas maayo ug andam
"[0, 0, 1, 0]",Ato na gamiton ang hinagiban sa among klase sa martial arts
"[0, 1, 0, 0]"," Pasensya na, pero walay utang karon, ugma ra ko"
"[0, 1, 0, 0]"," Dili ko ganahan anang patsoy-tsoy unya walay lamoy nga estilo, sus!"
"[0, 0, 1, 0]"," Ang mga lalaki, usahay, makabalo ug dili pasagdan ang ilang armas"
"[0, 1, 0, 0]"," Ayaw na pag-antos, human ka gyud sa sitwasyon ni!"
"[0, 0, 1, 0]", Ang hinagiban kay importante sa among tradisyon
"[0, 0, 0, 1]", Nagplanong magpadala ug usa ka kargada sa mga pagkaon sa mga biktima sa bagyo
"[1, 0, 0, 0]", Batan-on nga dugo ang nagtulak sa akoang mga amigo nga mangadto sa laing syudad ug manghambog sa among nalabangan.
"[1, 0, 0, 0]"," Samoka pud ana niya, alingasa kaayo, abot sa pikas bukid iya isturya"
"[0, 1, 0, 0]"," Ayaw kabalaka, paunaha ko paunaha ko para dili ka bungoton"
"[0, 0, 1, 0]"," Ayaw pag atun anang atala nga mga kasinatian, legato ra na"
"[0, 1, 0, 0]"," Hala, napsan ka sa imong project? Human ka gyud, amigo!"
"[0, 0, 0, 1]", Ang chef nagbatil sa asukal ug mantikilya hangtod homogenous
"[1, 0, 0, 0]", Karon lang ko nakasabut ngano ginaingon nga ang mga lalaking ander da bunal kay magpuyo sa unahan sa ilang asawa
"[0, 0, 1, 0]", Dili angay ibutang ang talib sa mga public discussions
"[1, 0, 0, 0]", Dili nako masabtan ngano nga nagpakita siya og bato og kasingkasing nga pagtratar sa uban
"[0, 0, 0, 1]", Ang suga sa kwarto kay puti
"[1, 0, 0, 0]"," Sa among barangay, daghan ang mga anak sa anuos, ug matambok pa jud!"
"[0, 0, 1, 0]","Ay, grabe na lagi kaayo imong giingon tungkol sa latbi"
"[0, 1, 0, 0]", Murag magkalas og bugo na pod ko aning abtik nga kaila nako!
"[0, 0, 1, 0]",Dugay na nakong walay nadungog nga nag-ingon sa iyang pagkalalaki nga sama sa mga tawo sa beach
"[0, 1, 0, 0]"," Kapag ang isyu kay sekreto para bibo, mas maayo nga magpabilin nalang nga hilom!"
"[1, 0, 0, 0]"," Unsaon man na nga tawo, kung sa tanang panahon nagbuhat ra og mga butang nga bail og nawong?"
"[0, 0, 0, 1]",Nagka problema ko sa panaw kay nagtagbaw ko sa tinea versicolor
"[1, 0, 0, 0]", Ang anak sa buhat mahigugma sa iyang trabaho bisan pa sa kakapoy
"[0, 1, 0, 0]"," Sa wala pa ko magdesisyon, ako una nga mangutan-a ang imong heart"
"[0, 0, 1, 0]"," Sa saya ug sa kalipay, ang bibingka naghatag og kaanyag sa kinabuhi"
"[0, 0, 0, 1]"," Balik-balik lang ko mag-ingon, ang pagkalalaki usa ka importante nga aspeto sa atong pagkatao"
"[0, 1, 0, 0]"," Kung mag-ingon ka nga dili na ka mag-Leyte, siyempre, ninja ray mopatay ninjo na!"
"[0, 1, 0, 0]"," Sa susunod na mag selfie ka, siguruha nga wala na'y mumho imu nawong kay tuhikon kas manok ana"
"[0, 0, 1, 0]",Nag-istorya sila nga molayag sa kalipay ilang mga kauban
"[0, 1, 0, 0]"," Sa klase, kanunay ra na naglisod tan-aw, ingon ko sa iya, ""Pis be with you!"""
"[0, 0, 1, 0]", Mas maayo pang magtukod og livelihood kaysa magpaabang
"[0, 0, 0, 1]", Manggihatagon ang mga tawo sa barangay sa ilang suporta sa proyekto
"[1, 0, 0, 0]", Ang mga tawo sa kalsada kanunay mag ingon nga bahong biyudo na ang hangin
"[0, 0, 0, 1]", Ang mga yelo sa ibabaw sa bukid kay tan-awon ugis sa kahayag sa adlaw
"[0, 0, 0, 1]"," Sa pagsugba sa isda, hinumdumi ang pagbubulabod sa harina aron maputlang maayo."
"[0, 0, 1, 0]"," Naa bay puti nga tahong sa inyong lugar, kay Raquel lingaw na lingaw"
"[0, 1, 0, 0]"," Dili kinahanglan mo-estrikta sa personal, enjoy lang ta sa mga butang"
"[0, 0, 1, 0]",Atala! Wala ko magdahom nga makasugat ko ana nga sitwasyon
"[0, 1, 0, 0]"," Sugdan na nato ang sunod na dula, pasok!"
"[0, 0, 0, 1]", Ang bunal nga gipaayo nagkahiusa sa pagpanalipod sa iyang mga hayop
"[0, 0, 1, 0]", Unsay inyong panan-aw sa latbi sa atong kultura?
"[0, 0, 1, 0]"," Nasayud ko nga sa pag-atiman sa taliba, kinahanglan nato ang respeto"
"[1, 0, 0, 0]"," Matud pa sa mga tawo, bisan unsa’y mahimo niya, basta bail og nawong lang siya."
"[1, 0, 0, 0]"," Wala na siya’y ikatagong mga lihok, kay borrar na gyud siya, bail og nawong."
"[0, 1, 0, 0]"," Kinsa man na imong sala, ikaw ra gihapon ang wala ni-take care sa imong finances!"
"[0, 0, 1, 0]", Kani si manuel bastos pud kay sige ra ug katawa sa rakas nila
"[0, 0, 1, 0]",Dili na siya ang unang lalaki nga nagpakita sa iyang espada sa among grupo.
"[0, 1, 0, 0]","Naka-misinterpret ka sa akong gisulti, pangatulig luwag!"
"[0, 1, 0, 0]"," Dili na ko batanon, paunaha ko para dili ka bungoton"
"[0, 0, 0, 1]"," Nakakita ko og tindahan nga nagbaligya og freshly made budbod, ma-excite ko mag-order."
"[0, 0, 0, 1]",Sako'ng amiga naghayag nga siya usa ka senyora sa among klase
"[1, 0, 0, 0]"," Ngano diay, unsa man ang hinungdan nga bahog gas ang akong gikaon karong adlawa?"
"[0, 0, 0, 1]", Palihug ayaw palihug pag-abli sa akong tinagoan kay naa didto ang akong mga sekreto
"[1, 0, 0, 0]"," Makakita ka sa iyang mga tiunay, batang murag korek sa pag-istorya"
"[0, 0, 1, 0]", Nagreklamo siya nga nagkasakit ang iyang pribadong parte
"[0, 1, 0, 0]"," Nakakatawa ra kaayo ka, wala koy sensiyo ana"
"[0, 1, 0, 0]"," Nag-out of control na ang budget nato, human ka gyud!"
"[0, 0, 0, 1]", Nagpaabang siya og bike para sa biyahe ngadto sa beach
"[0, 0, 1, 0]"," Ang espasa gidala ang kasingkasing ug kalag sa arena, nagpaandar sa mahayag nga mga hitabo."
"[0, 0, 1, 0]", Dili nato kalimutan nga ang maayo nga panan-aw usa ka autuas sa atong pagbiyahe
"[0, 1, 0, 0]"," Kani nga salida, gikan sa sugilanon hangtod sa mga desisyon, bati na kaayo. Sugo sa direktor na"
"[0, 1, 0, 0]"," Ang akung barkada naay sugilanon bahin sa pari nga walay ulo, kinahanglan ka mag-amping"
"[1, 0, 0, 0]","Dili na siya maulaw sa iyang gibuhat, kay baga'g nawong man."
"[0, 0, 0, 1]", Ang ilang mga manok nakaayo gyud og training para sa sabong
"[0, 0, 1, 0]"," Ayaw kabala ka sa akong kargada, kay wala koy plano nga gamiton kini"
"[0, 0, 1, 0]"," Mao na, grabe nga atala ang mga panghitabo sa akong week"
"[0, 1, 0, 0]"," Kung klaro kaayo sa patern, wala nay rason nga magsige pa ta ug duda"
"[0, 0, 0, 1]"," Sa kasagaran, ang mga wala nahilig makahatag lang ug kagawasan pero wala gayod sa tinuod nga gugma"
"[0, 0, 1, 0]",Nakita nimo si Pedro? Wala na siya.
"[1, 0, 0, 0]", Mura ug awas og palad ang mga tawo nga pataka lang ug gasto nga walay plano
"[0, 0, 1, 0]",Nangadto mi sa rampa sa baybayon aron mag-relax sa sunset
"[0, 0, 0, 1]",Wala na koy kwarta para magshopping
"[0, 0, 1, 0]"," Sa cinema, nagtan-aw sila nga nagsugod na ang flirting bahin sa taga"
"[0, 0, 0, 1]", Gihangyo sa coach nga ang ikaduha nga player maningkamot pa
"[0, 0, 1, 0]", Ato na lang i-celebrate ang mga alaala ni Lola kay wala na siya.
"[0, 1, 0, 0]","Bisan unsaon nimo ug criticize sa akong estilo, kung na-s ka, just follow ra"
"[1, 0, 0, 0]"," Nagdawat siya sa award bisan wala siya nagpaningkamot, sobra na ang baga'g nawong."
"[0, 0, 1, 0]", Ang taga sa akong amigo kay murag sakit kaayo
"[0, 0, 0, 1]", Ang mga ulap nagtan-aw nga adunay ugis nga puti sama sa manok
"[0, 0, 0, 1]", Ang mga bata gusto magbatil sa itlog para sa omelette
"[0, 0, 0, 1]", Dili ko gusto ang armas nga gigamit ni Juan
"[0, 1, 0, 0]"," Dili ko ganahan na suguon ko, ayaw pagbuot, lain-lain tag lubot!"
"[1, 0, 0, 0]"," Pagsaka sa bukid, diha koy nakit-an nga buang nga lubi nga sa sobra ka fresh kay tubig ra jud"
"[0, 1, 0, 0]"," Dili na raba nimo mahibaw-an nga annoying na ka, aykog labda na!"
"[0, 1, 0, 0]",Isipon nako nga moadto ko sa imong heart ug magsugod sa bag-ong yugto sa atong relasyon
"[1, 0, 0, 0]"," Ayaw adto og gubat kon wala kay bala, prangka kaayo ang mga exam kung wala kay gi-andam"
"[0, 0, 1, 0]"," Grabe, atala, unsaon na lang nato ni nga pakigbisog"
"[0, 0, 1, 0]", Murag nangita siya og suporta gikan sa mga amigo mahitungod sa mga isyu sa pagkalalaki
"[0, 1, 0, 0]"," Dili man ko perfect, pero kung na-s ka, just follow ra"
"[1, 0, 0, 0]"," Nakita nimo si Maria? Anak ni Eba gyud siya, dako nga paglaum sa iyang mga ginikanan"
"[0, 1, 0, 0]"," Kanang sulti niya nga dili siya kapuyon sa trabaho, ang baka nisulod sa kulon"
"[1, 0, 0, 0]","Dili na siya ang anak sa pagpakasala, kay gipanganak siya sa usa ka kasal"
"[0, 0, 1, 0]"," Murag pagka espasa si Diego, walay labot ang kahadlok sa iyang mga lihok."
"[1, 0, 0, 0]"," Para nako, mas maayo ang bahong biyuda kaysa sa presko nga pabangong gikan sa botelya."
"[0, 1, 0, 0]"," Dili ko willing mu-accept sa imong mga sugyot, ayaw pagbuot kay lain-lain ta og lubot"
"[0, 0, 0, 1]", Ang ikaduha sa qualification round ang mosulod sa finals
"[0, 0, 0, 1]"," Sa pag-andam sa meringue, siguraduhon nga walay yolk sa puti"
"[1, 0, 0, 0]",Wala na gyud siyay kasaligan kay basa na'g papel ang iyang mga saad
