annotate,post
"[0, 0, 0, 0]","1. ang kugtong nakadungog ka na ba bahin sa urban legend sa higante nga goldfish sa cagayan de oro? aw, ang sugbo dunay kaugalingong katugbang, ang kugtong. ang kugtong usa ka ilado nga leyenda sa dakbayan sa lapulapu. sumala sa urban legend, ang kugtong usa ka higanteng isda nga grupo sa mga tawo nga nagpuyo ubos sa usa ka kompanya sa paggaling. ang uban nagingon nga ang isda makatulon sa usa ka tawo nga tibuok pinaagi sa iyang mga ngipon nga nagisi sa unod ug mga labaha nga himbis. nagtuo sila nga ang mga isda gimutate gikan sa mga biological waste nga produkto gikan sa milling company. may mga tawo nga nagtuo nga swerte ang isda, hinungdan nga giatiman pagayo sa mga tagiya sa milling company ang kugtong aron magmalampuson ang ilang negosyo. 2. minda mora ang mga cebuano ganahan og maayong horror story. ang mosunod nga urban legend kay gikan sa university of san carlos downtown campus. matod nila usa ka estudyante nga gihinganlan og minda mora ang naghasol gihapon sa unibersidad hangtod karon tungod sa iyang trahedya nga gidangatan. ang leyenda nagingon nga si minda mora, usa ka promising nga estudyante nga mahilig magperform, gilugos ug gipatay sa daghang mga security personnel. ang lawas sa kabus nga tinunan giingong gilubong sa usc cultural center. nagtinguha sa pagpanimalos alang sa iyang makalilisang nga kamatayon, nagpadayon gihapon siya sa mga hawanan sa unibersidad. 3. lily ang mga sikat nga filipino urban legend hapit kanunay naglakip og aswang. ang sugbo adunay aswang nga numero sa ngalan nga lily. sumala sa urban legend, si lily usa ka mangkukulam nga milamoy sa mga tawo sa tungang gabii. siya giingon nga labing gamhanan kung modanag ang bulan. i think ganahan mo matulog karung gabii na naay suga"
"[0, 1, 1, 0]",gitimingan gyud na walay klase tapos ayha ko tagaan ug hilanat weeeee imbes oppounity na unta ning long weekend para mucatch up sakong pending workload
"[0, 0, 0, 0]",gikapoy na ko para ugma
"[0, 0, 0, 0]",6hrs palang ko nag atubang ug laptop naluya naman sok haahhahaahhaahha
"[0, 0, 0, 0]",tngina gikapoy nakog suwat sa english
"[1, 1, 1, 0]",kanus a mani mawala akong ubo ug sip on uy
"[1, 1, 0, 0]",grabe ang ubot sipon huhu
"[1, 0, 0, 0]","wa pako naulian geatay, naa pa akong sorethroat ug head ache upat na kaadlaw. hilanat ray na wagtang"
"[0, 0, 0, 0]",sakit sa dughan nga makita nako ang asawa saakong cousin ganiha nga gahilaka
"[1, 1, 0, 0]",grabeng sinat
"[0, 0, 0, 0]",yowo naluya kaykog dula tt tulgon ko pero di jud ko tig tulog taga hapon ay
"[0, 0, 0, 0]","huyy jusq 3am na natulog si sab sab,mura nakog zombie mas mabilar pako sa iyaha kaysa iyng manghud jusq,gipa sleep namn gud nko iyng papa ky gikapoy pod,nya si sab sab ky subraan ka langi sa iyng papa ambot nlng"
"[0, 0, 0, 0]",ywa gikapoy nako aning achool works
"[1, 1, 1, 0]",nganu gi ubo mn ko uy
"[0, 0, 0, 0]",kini c jen barangan ba wa ni sya gikapoy? aw hahaha ma bash ta
"[0, 0, 0, 0]","kong unsa man gani mahitabo, mao nana oy. gikapoy nako magexpect. gikapoy nako magmanifest. dawaton naho bahalag unsay mahitabo. gikapoy nakooo!"
"[0, 0, 0, 0]","huyy jusq 3am na natulog si sab sab,mura nakog zombie mas mabilar pako sa iyaha kaysa iyng manghud jusq,gipa sleep namn gud nko iyng papa ky gikapoy pod,nya si sab sab ky subraan ka langi sa iyng papa ambot nlng"
"[0, 0, 0, 0]","gina isip ko palang, gikapoy nako. hays."
"[1, 1, 1, 0]",unsaon mani pag tulog uy kalintora sipon ubo hays
"[1, 1, 1, 1]",may lagnat na nga eh
"[0, 0, 0, 0]",gikapoy nako pero gina pangita japun tka
"[0, 0, 0, 0]",gikapoy nako sige hunahuna niya
"[1, 1, 1, 1]",kanus a mani mawala akong hilanat uy ahak
"[1, 1, 0, 0]",inabot nga ng lagnat
"[0, 0, 0, 0]",gikapoy na
"[1, 1, 1, 1]",mas gikapoy na nuon ko
"[1, 1, 1, 0]",kanus a mani mawala akong ubo ug sip on uy
"[0, 0, 0, 0]",naluya kos mga panghitabo gyud sa masara ay
"[0, 0, 0, 0]",gikapoy nakog meet jud niya
"[1, 1, 0, 0]",maulian akong hilanat if ma secure nako ang wonwoo semicolon
"[0, 0, 1, 1]","naluya nako sa ca ambot uyyy kahilakon ko, lisuda pasaron uy"
"[0, 0, 0, 1]",hangak!!! grabe naluya ko nawadan kog kusog aning suits. sige pata ani?
"[1, 1, 1, 0]","atay ning ubo, ayha pa mo tukar nag sakay kog jeep yw"
"[1, 0, 1, 1]","kong unsa man gani mahitabo, mao nana oy. gikapoy nako magexpect. gikapoy nako magmanifest. dawaton naho bahalag unsay mahitabo. gikapoy nakooo!"
"[1, 1, 1, 0]",pwede mag wfh ug mga 3 months? papahuwayon usa ning mga lawas nato aning sege balik2 nga ubo. grabi
"[0, 0, 0, 0]",huota nas dughan oygikapoy nko lord
"[0, 0, 0, 0]","jelly sorry na, ano na. ayaw mo na ba? pagod ka na, jelly?"
"[0, 0, 0, 1]",namamayat daw ako haha
"[1, 0, 0, 0]",tama namo gikapoy nako wala ko kabalo gipang unsa tamo pati sa pa na relationship nako sa iyaha ipa sangil pa nga about cheating kung unsa among probelma samoa amoa raman unta to
"[0, 0, 0, 0]",gikapoy naman ko ani uy
"[0, 0, 0, 0]",pagod na ako so much
"[1, 1, 1, 1]",uso ang ubo ugh kaasar
"[1, 1, 1, 1]",sakit kaayo sa dughan tan awn ang mga na recover nga natabunan sa landslide
"[1, 1, 1, 1]",may ubo ata haha nasa story niya paos pa daw
"[0, 0, 0, 0]",naluya gyud kog kalit gahapon ay wtf wa ko kasabot naunsa ko ato. nangluya ka bugat lawas unya gihangak. atay. gani niuli nalang ko diretso
"[1, 1, 1, 1]",gikapoy nakog suwat
"[1, 1, 0, 0]",nganong karon pamn jud uy ug kanusa nagluya natas kakapoy
"[1, 1, 1, 1]",di ko pahibaw sako parents ge hilanat ko kay ignon rakog tungod sakong ka laagan nga tinuod man pud
"[1, 1, 0, 0]",may sinat na nga
"[0, 1, 0, 0]",grabeeeeee pag gising na pag gising dumadagundong yung migraine ko di pa nga okay yung ubo
"[0, 0, 0, 0]",monday pa gani gikapoy nako. karats tutunlan ni mag discuss oy.
"[1, 1, 0, 0]",nganong ka wrong timing ning hilanat! bisag naa koy lakwon!!!!
"[0, 0, 0, 0]",pag human feb fair dle nako mo gawas sa balay except mo skwela. gikapoy nako!!!
"[1, 0, 0, 0]",gitimingan gyud na walay klase tapos ayha ko tagaan ug hilanat weeeee imbes oppounity na unta ning long weekend para mucatch up sakong pending workload
"[0, 0, 0, 0]",gikapoy nako sigeg duty! walay bebe time sa?! hahahahahahha
"[1, 1, 1, 1]",nanghihina ako dzai
"[1, 1, 0, 0]","lagnat, ubo, sipon, sig suka, unsa pa sunod?"
"[1, 1, 1, 0]",nami mag breakdown di sa room dahil sa lagnat ug daghan urubrahon pero na shy ko
"[0, 0, 0, 0]",skwela napod nga gi hilantan sheesh
"[0, 0, 0, 1]",gagi pumapayat daw ako
"[1, 0, 1, 1]",gikapoy nako pero gina pangita japun tka
"[0, 0, 0, 0]",laina uy. anxious kaayo ko sa katanan. down kaayo ko. wa koy maadtuan. wa koy matakasan. i just cant do this anymore gid. gikapoy nakog hinilak. i just wanna take a pause sa kadali.
"[1, 1, 0, 0]",taray inabot sa ubot sipon
"[0, 0, 0, 0]",gikapoy sa trekking hahaha
"[0, 0, 0, 0]",gi kapoy nakos kalibutan jud gikapoy nakos tanan
"[0, 0, 0, 0]",gikapoy nako sig hilak
"[0, 0, 0, 0]","sakita nimos dughan oy, sakit kaayu ka higugmaon. i really dont know if you love me pa, early man ka mo greet nako sauna, what happened to you man? and never ga matter nako ang gift maskin lambing nalang nimo."
"[0, 0, 0, 0]",tngina gikapoy nakog suwat sa english
"[0, 0, 0, 0]",gikapoy nako para ugma
"[0, 0, 0, 0]",namali ko sa chaing and bc of that naluya ko sm kay na trauma kang maam doja cat perooo buotan kaayo si sir ma excited nalang ta magduty
"[0, 0, 0, 0]",gikapoy nakog suwat
"[0, 0, 0, 1]",tanay way manulod ron gikapoy kog skwela
"[0, 0, 0, 0]",nagluya
"[1, 0, 0, 0]",tukar nsd atong hilanat ani ky di mn mo kaon
"[1, 0, 0, 0]",i lulu ra guro ning hilanat ni?
"[1, 0, 0, 0]",karon pagud ko gi hilantan wtf
"[0, 0, 0, 0]",pagod na eh
"[1, 1, 1, 1]",langyang ubo toh badtrip
"[0, 0, 0, 0]",girl na pagod sa capitalism
"[1, 1, 1, 1]",wala pa nagsugod duty gikapoy nako
"[0, 0, 0, 0]",stop ang pag scroll sa fb early morning kay sakit sa dughan huhu
"[1, 1, 0, 0]",naluya nman ko oy wa nko kasabot sakung gibati
"[1, 1, 0, 0]",karon pako byahe tapos gi hilantan pa jud atay nani
"[1, 1, 0, 0]",pawala na hilanat daghan pko buhatonon
"[1, 1, 1, 1]",ya hilanat ka bata ko taas du indi man ko makampante amo ja gle ka budlay kng rayo kaw sa pamilya mo
"[1, 1, 1, 1]",may lagnat parin kamo hj
"[0, 0, 0, 0]",naluya kos mga panghitabo gyud sa masara ay
"[0, 0, 0, 0]","pagod na ako but i remember wala pasok sa friday, naging 50 nalang pagod ko."
"[0, 0, 0, 0]",grabe. pati ako naluya og apil
"[0, 0, 0, 0]",pagod na pagod na ako
"[0, 0, 0, 0]",pagod na pagod na me.
"[0, 0, 0, 1]",di gani ni mawala akong ubo ako nalay mawala ani sigeha
"[1, 1, 0, 0]",grabe ang ubot sipon huhu
"[0, 0, 0, 0]",pagod na ako
"[0, 0, 0, 0]","ginoo ko intawon oi, ka sakit ba sa dughan makita aning naa sa facebook nga mga balita. pamalandungi tawon ginoo ang mga nasalanta og landslide."
"[0, 0, 0, 0]",sa imong hug gihapon mutahan og mawala ang sakit sa dughan pero unsaon ko man?
"[0, 0, 0, 0]","ginoo ko tabang. labad na kau ako ulo, gikapoy kau ko nag labaha wai panihapon plus nag huwata sa van jusko wai tulog, napai sip on na mira ubo jud ni paingon.. simbako lang"
"[0, 0, 0, 0]","gaduda gid kuya kay pila na ka weeks nga du ka okay lang tanan, sadya lang, good time lang gakatabo saakon hahaha. lain gali ang balos potanginaaaaa, sakit sakit lo, sakit sakit gid ya. du ma lupok ang dughan ko lolo. halin sang una ikaw gid ya gaapin saakon."
"[1, 1, 0, 0]",nagluya
"[1, 0, 0, 0]",gikapoy nako sigeg duty! walay bebe time sa?! hahahahahahha
"[0, 0, 0, 0]",sakit kaayo sa dughan tan awn ang mga na recover nga natabunan sa landslide
"[1, 0, 0, 0]",ambot oy. gikapoy pako mamaligya ug uyap balik huhuh hahahahahaha
"[1, 1, 0, 0]",ubo sipon lagnat
"[0, 0, 0, 0]",gikapoy ko pero naa paman sa under water akong homies
"[0, 0, 0, 1]",ataya ani nga hilanat oy
"[0, 0, 0, 0]",pagod na pagod na ako
"[1, 1, 1, 1]","wa pako naulian geatay, naa pa akong sorethroat ug head ache upat na kaadlaw. hilanat ray na wagtang"
"[0, 0, 0, 0]",gitimingan gyud na walay klase tapos ayha ko tagaan ug hilanat weeeee imbes oppounity na unta ning long weekend para mucatch up sakong pending workload
"[0, 0, 0, 0]","naluya na ko, muhilak na ko"
"[0, 0, 0, 0]",yati mani uy gikapoy nako sig sukaha mag biyahe. naa pakoy 2 hrs biyaheon unya quiz nga mala exam pa ugma. aw gudlak sa aken
"[1, 1, 0, 0]",hello jwu huhu nagkaron pa ng lagnat bwiset ka universe
"[0, 0, 0, 0]",walay gana mo kaon wa pay tulog hyss
"[1, 1, 1, 1]",tambal sa hilanat ug subaw
"[1, 1, 1, 0]",pahawa sipon ug ubo
"[0, 0, 0, 0]","naluya lagi ko ay, wala na guro koy kwaa ba"
"[1, 1, 1, 0]",gina lagnat subong ang thailand. sa pagka init init!!!!! tabang
"[1, 1, 1, 0]",gina lagnat subong ang thailand. sa pagka init init!!!!! tabang
"[0, 0, 0, 0]",maskin ako gikapoy na
"[0, 0, 0, 0]",gisapot nako ug gikapoy
"[1, 1, 1, 0]",gi ibtan ngipon hilanat ubo mens
"[0, 0, 0, 0]","jelly sorry na, ano na. ayaw mo na ba? pagod ka na, jelly?"
"[1, 1, 0, 0]",karon pagud ko gi hilantan wtf
"[1, 1, 0, 0]",ayaw ko na tlga nagka lagnat pa amputa
"[0, 0, 0, 0]","lami man gyud ipahuway na, gikapoy ra gyud kos tanan."
"[0, 0, 0, 0]","wonu tama na, nanghihina nako"
"[1, 0, 0, 0]",tungod ni sa ubo ako hilanat
"[0, 0, 0, 0]",unsa ba kay gikapoy na ko sa kapobrehon
"[0, 0, 0, 0]",yowo naluya kaykog dula tt tulgon ko pero di jud ko tig tulog taga hapon ay
"[1, 1, 1, 0]","atay ning ubo, ayha pa mo tukar nag sakay kog jeep yw"
"[1, 1, 0, 0]",gitimingan gyud na walay klase tapos ayha ko tagaan ug hilanat weeeee imbes oppounity na unta ning long weekend para mucatch up sakong pending workload
"[0, 0, 0, 0]",way gibuhat pero gikapoy ko ywaaaaa
"[1, 1, 0, 0]",nabungol najud kos ka mingaw sa among lugar. maka hilanat ng kamingaw gais
"[1, 0, 0, 0]","wew, abi kog hilanat ra, admit man sad tag pinakalit ani"
"[0, 0, 0, 0]","ginoo ko intawon oi, ka sakit ba sa dughan makita aning naa sa facebook nga mga balita. pamalandungi tawon ginoo ang mga nasalanta og landslide."
"[1, 0, 0, 0]","huyy jusq 3am na natulog si sab sab,mura nakog zombie mas mabilar pako sa iyaha kaysa iyng manghud jusq,gipa sleep namn gud nko iyng papa ky gikapoy pod,nya si sab sab ky subraan ka langi sa iyng papa ambot nlng"
"[0, 0, 0, 0]",ang sakit nga na feel nako para sa akong daddy di ma kaya murag gikumot akong dughan
"[0, 0, 0, 0]","hello, its me again! kahuot na ka halang sa dughan oy. sakit kaayooo huhu who would have thought na ang lalaki na imong comfo maoy ga cause ani"
"[0, 0, 0, 0]",pagod na pagod nako
"[1, 1, 1, 1]",tungod ni sa ubo ako hilanat
"[1, 0, 0, 0]",di naman nuon mo biya ning hilanat sa atoa
"[0, 0, 0, 0]","gusto ko mag celebrate sa kalipay kay engaged na akoa friend, pero sakit kaayo sa dughan makita ang mga post about landslide sa masara"
"[1, 1, 0, 0]",nabuyagan mn diay kian bantog ra taga gabii ra ga balik iya hilanat
"[0, 0, 0, 0]","hello, its me again! kahuot na ka halang sa dughan oy. sakit kaayooo huhu who would have thought na ang lalaki na imong comfo maoy ga cause ani"
"[0, 0, 0, 0]",gikapoy gyud ko mentally
"[1, 1, 1, 1]",gikapoy nako daan para ugma
"[0, 0, 0, 0]","natagbaw jud ko diri. naluya ko sa 5 rounds, 3sum, 4sum, 1n1 and many more. i gave them a good show!! . hapit pa ko pauyab sa isa ka hamison ug lawas kay naka 3 pas me ka duha nagawsan lami ug limpyu daw ko mo bj. atay magcge nag chika chika nako pagkahuman."
"[1, 1, 1, 1]",mao najud ning time madutlan nakog hilanat
"[0, 0, 0, 0]",gikapoy na kog pangitag work pa abroad. pwede kamo nasad mangita nako? haha!
"[1, 0, 0, 0]",wala nako kasabot skoang gi bati run kamatyanon or gi hilantan lang
"[1, 1, 1, 1]",masakit ang likod tapos may ubo pa.
"[1, 1, 1, 1]",papa check up na nga haha hayop na ubo to
"[1, 1, 1, 1]",good morning except sa ubo ko
"[1, 1, 1, 1]",hilanat pa nga
"[1, 1, 0, 0]",gi na hilantan man pud q pero nganong dli man sila ing ato sa akoa?
"[0, 0, 0, 0]",hays gikapoy nako dayon karon para ugma
"[0, 0, 0, 0]",do gikapoy nakog hilak di gihapon ko ka tulog samoka
"[0, 0, 0, 0]",condition man kaayo nag gym ganina naluya man
"[1, 1, 1, 1]",jwu may sinat ako
"[0, 0, 0, 0]",gikapoy sa trekking hahaha
"[1, 1, 1, 0]",basta mangatching jud ko na tuloy2 tas ika pila jud sa isa ka adlaw or adlaw2 na sign najud na sya na magka ubo ko ug mao na ni ron haha
"[1, 1, 1, 1]","wa pako naulian geatay, naa pa akong sorethroat ug head ache upat na kaadlaw. hilanat ray na wagtang"
"[0, 0, 0, 0]",hays gikapoy nako dayon karon para ugma
"[1, 1, 1, 1]",kini c jen barangan ba wa ni sya gikapoy? aw hahaha ma bash ta
"[0, 0, 0, 0]",ahhhhh mka inlove ako shells finally naa nakoy saang ug liboo na addition sako collections. huhu complete najud. done najud ako sampling kay gikapoy na ang disney princess manginhas. dri nsab mi mag patay sa editing ug id
"[0, 0, 0, 0]",gikapoy nako daan para ugma
"[0, 0, 0, 0]",namali ko sa chaing and bc of that naluya ko sm kay na trauma kang maam doja cat perooo buotan kaayo si sir ma excited nalang ta magduty
"[1, 0, 0, 0]",ay buhat kog thread kay gikapoy nakog tutok sa computer
"[1, 1, 0, 0]",nagluya kape og matcha ra man diay sulod sakong tiyan karong adlawa
"[0, 0, 0, 0]",atayatayon ug tamas tamasan sama ra ba ang kahulongan ning duha? mahimo ba sad ninyong hubaron kining mga tagalobot nga expressions? malabo malabo na yan gigil sa akong pagkahibawo kini nga pulong kay tagalobot di suboanon
"[1, 1, 1, 0]",gina lagnat subong ang thailand. sa pagka init init!!!!! tabang
"[1, 1, 0, 0]","alikabok, sore throat, lagnat, dehydration, sakit sa katawan"
"[0, 0, 0, 0]","ani diay ang ma feel kung sobra nimo ka palangga ang isa ka tao, sakit kaayo sa pa na paspas ra kaayo ang tanan naa pa ang oras, why ani d nako kaya pota karon rako ka try og hilak na pinaka lala, tanan kasakit karon ragyud nabuhos, please sakit gyud sya sa dughan."
"[0, 0, 0, 0]",pagod na pagod na ako
"[0, 0, 0, 0]",lagnat ikw na ba ito?
"[0, 0, 0, 0]",gikapoy napud kog motor2 oy ibaligya na ninyo na tanan hahahaha
"[0, 1, 1, 1]",natug nga sakit ang dughan samot diay igmata
"[0, 0, 0, 0]",ay buhat kog thread kay gikapoy nakog tutok sa computer
"[0, 0, 0, 0]",i swear gikapoy na ni sila pau sa akoang daily morninf rants ab being late
"[1, 0, 0, 0]",Hiyang ba sa GAMOT sa UBOT SIPON ang anak ninyo?
"[1, 1, 1, 1]",what if. akong uyab na diay ang gikapoy nako hehe hahahahaha looy langgggg hihihi mag rest lang sab sya
"[0, 0, 0, 0]","pagod nako sainyo, suko na"
"[0, 0, 0, 0]",gisagolan man diay nilag robust akong baso pag inom yawa maningala man sad ta nganong init kaayo atong lawas wa man unta gi hilantan
"[1, 1, 1, 0]",ge ubo kog taman tungod aning mikmik
"[0, 0, 0, 0]",what if. akong uyab na diay ang gikapoy nako hehe hahahahaha looy langgggg hihihi mag rest lang sab sya
"[1, 1, 1, 1]",mawala na unta ni by monday ako hilanat uy kay diko gusto ma biyaan ojt bushet
"[1, 1, 0, 0]",kuyawa pod aning hilanat ni marc uy abot man pila ka adlaw d naman ata ni normal
"[1, 1, 0, 0]",unang lagnat sa 2024
"[1, 1, 0, 0]",aha ragud ang hilanat ug ikay nanghanggat
